Unit name,Zone,Country,name,Status,Operator,Construction's begin,Commissioning Year,Decommissioning Year,Category,Energy 1,Energy 2,Energy 3,Technology,Sub Energy 1,Sub Energy 2,Sub Energy 3,Sub-techno.,CHP,CCS,Barge,Desalination,capacity,Energy Capacity (MWh),Discharge duration (hours),Last Update,Comment,City,lat,long,CAPEX (USDm),Date of financing,Production 2007 (GWh),Production 2008 (GWh),Production 2009 (GWh),Production 2010 (GWh),Production 2011 (GWh),Production 2012 (GWh),Production 2013 (GWh),Production 2014 (GWh),Production 2015 (GWh),Production 2016 (GWh),Production 2017 (GWh),Production 2018 (GWh),Production 2019 (GWh),Production 2020 (GWh),Load factor 2007 (%),Load factor 2008 (%),Load factor 2009 (%),Load factor 2010 (%),Load factor 2011 (%),Load factor 2012 (%),Load factor 2013 (%),Load factor 2014 (%),Load factor 2015 (%),Load factor 2016 (%),Load factor 2017 (%),Load factor 2018 (%),Load factor 2019 (%),Load factor 2020 (%),cluster
Burg-Gemünden,Europe,Germany,Burg-Gemünden,Operational,ABO Wind,,2001.0,,Renewables,Wind,,,On-shore,,,,,,,,,7.8,,,20/09/2021,,Burg-Gemünden,50.68,9.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
Flechtdorf/Helmscheid,Europe,Germany,Flechtdorf/Helmscheid,Operational,ABO Wind,,2004.0,,Renewables,Wind,,,On-shore,,,,,,,,,9.5,,,20/09/2021,,Flechtdorf,51.32,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
Framersheim,Europe,Germany,Framersheim,Operational,ABO Wind,,1998.0,,Renewables,Wind,,,On-shore,,,,,,,,,3.0,,,20/09/2021,,Framersheim,49.76,8.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
Gembeck I,Europe,Germany,Gembeck,Operational,ABO Wind,,2003.0,,Renewables,Wind,,,On-shore,,,,,,,,,6.0,,,20/09/2021,,Diemelsee,51.36,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
Gembeck II,Europe,Germany,Gembeck,Operational,ABO Wind,,2003.0,,Renewables,Wind,,,On-shore,,,,,,,,,6.0,,,20/09/2021,,Diemelsee,51.36,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
Korschenbroich - I,Europe,Germany,Korschenbroich - I,Operational,ABO Wind,,2005.0,,Renewables,Wind,,,On-shore,,,,,,,,,7.5,,,20/09/2021,,Korschenbroich,51.19,6.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
Krähenberg,Europe,Germany,Krähenberg,Operational,ABO Wind,,2003.0,,Renewables,Wind,,,On-shore,,,,,,,,,6.25,,,20/09/2021,,Krähenberg,49.33,7.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
Losheim,Europe,Germany,Losheim,Operational,ABO Wind,,2004.0,,Renewables,Wind,,,On-shore,,,,,,,,,9.0,,,20/09/2021,,Losheim,49.51,6.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
Losheim/Eifel,Europe,Germany,Losheim/Eifel,Operational,ABO Wind,,2006.0,,Renewables,Wind,,,On-shore,,,,,,,,,9.0,,,20/09/2021,,Losheim,49.51,6.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
Marpingen,Europe,Germany,Marpingen,Operational,ABO Wind,,2004.0,,Renewables,Wind,,,On-shore,,,,,,,,,4.5,,,20/09/2021,,Marpingen,49.45,7.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
