Unit name,Zone,Country,name,Status,Operator,Construction's begin,Commissioning Year,Decommissioning Year,Category,Energy 1,Energy 2,Energy 3,Technology,Sub Energy 1,Sub Energy 2,Sub Energy 3,Sub-techno.,CHP,CCS,Barge,Desalination,capacity,Energy Capacity (MWh),Discharge duration (hours),Last Update,Comment,City,lat,long,CAPEX (USDm),Date of financing,Production 2007 (GWh),Production 2008 (GWh),Production 2009 (GWh),Production 2010 (GWh),Production 2011 (GWh),Production 2012 (GWh),Production 2013 (GWh),Production 2014 (GWh),Production 2015 (GWh),Production 2016 (GWh),Production 2017 (GWh),Production 2018 (GWh),Production 2019 (GWh),Production 2020 (GWh),Load factor 2007 (%),Load factor 2008 (%),Load factor 2009 (%),Load factor 2010 (%),Load factor 2011 (%),Load factor 2012 (%),Load factor 2013 (%),Load factor 2014 (%),Load factor 2015 (%),Load factor 2016 (%),Load factor 2017 (%),Load factor 2018 (%),Load factor 2019 (%),Load factor 2020 (%),cluster
Postlow - III,Europe,Germany,Postlow,Operational,Enertrag,,2002.0,,Renewables,Wind,,,On-shore,,,,,,,,,1.8,,,20/09/2021,,Postlow,53.84,13.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
Karlsruhe - II,Europe,Germany,Karlsruhe - II,Operational,,,2002.0,,Renewables,Wind,,,On-shore,,,,,,,,,1.0,,,20/09/2021,,Karlsruhe,49.0068901,8.4036527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
Karlsburg,Europe,Germany,Karlsburg,Operational,Theolia Naturenergien GmbH,,2001.0,,Renewables,Wind,,,On-shore,,,,,,,,,24.0,,,20/09/2021,,Karlsburg,53.9712055,13.608738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
Raesfeld - IV,Europe,Germany,Raesfeld - IV,Operational,,,2009.0,,Renewables,Wind,,,On-shore,,,,,,,,,4.0,,,20/09/2021,,Raesfeld,51.77,6.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
Ditfurt,Europe,Germany,Ditfurt,Operational,,,1998.0,,Renewables,Wind,,,On-shore,,,,,,,,,1.0,,,20/09/2021,,Ditfurt,51.81,11.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Prenzlau WPP,Europe,Germany,Prenzlau WPP,Operational,Prokon,,2000.0,,Renewables,Wind,,,On-shore,,,,,,,,,11.5,,,20/09/2021,,Prenzlau,53.3173433,13.8633409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
Dalkendorf,Europe,Germany,Dalkendorf,Operational,,,2009.0,,Renewables,Wind,,,On-shore,,,,,,,,,0.8,,,20/09/2021,,Dalkendorf,53.821636,12.500726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
Neeken,Europe,Germany,Neeken,Operational,,,2003.0,,Renewables,Wind,,,On-shore,,,,,,,,,1.5,,,20/09/2021,,Neeken,51.89,12.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
Lützenreuth,Europe,Germany,Lützenreuth,Operational,,,2003.0,,Renewables,Wind,,,On-shore,,,,,,,,,4.0,,,20/09/2021,,Gefrees,50.0949238,11.7383086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
Cobbelsdorf,Europe,Germany,Cobbelsdorf,Operational,,,2002.0,,Renewables,Wind,,,On-shore,,,,,,,,,0.6,,,20/09/2021,,Cobbelsdorf,51.96,12.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
Biere,Europe,Germany,Biere,Operational,"UWB Umspannwerk Betriebsgesellschaft Biere mbH,  
UWB Umspannwerk Betriebsgesellschaft Borne mbH",,1999.0,,Renewables,Wind,,,On-shore,,,,,,,,,94.5,,,20/09/2021,,Biere,51.98,11.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Damme,Europe,Germany,Damme,Operational,,,2001.0,,Renewables,Wind,,,On-shore,,,,,,,,,30.0,,,20/09/2021,,Borringhauser Moor,52.521405,8.197364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
Adensen,Europe,Germany,Adensen,Operational,,,2001.0,,Renewables,Wind,,,On-shore,,,,,,,,,4.0,,,20/09/2021,,Adensen,52.19,9.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
Pröttlin,Europe,Germany,Pröttlin,Operational,Denker & Wulf,,2009.0,,Renewables,Wind,,,On-shore,,,,,,,,,24.0,,,20/09/2021,,Pröttlin,53.1985067,11.6007757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48
Erxleben-Eimersleben,Europe,Germany,Erxleben-Eimersleben,Operational,Prokon,,2008.0,,Renewables,Wind,,,On-shore,,,,,,,,,8.0,,,20/09/2021,,Erxleben,52.23,11.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
Dammfleth - I,Europe,Germany,Dammfleth - I,Operational,,,1996.0,,Renewables,Wind,,,On-shore,,,,,,,,,1.6,,,20/09/2021,,Dammfleth,53.904843811994,9.3850708007812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
Dratum,Europe,Germany,Dratum,Operational,,,2001.0,,Renewables,Wind,,,On-shore,,,,,,,,,3.0,,,20/09/2021,,Dratum,52.21,8.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
Hamburg - I,Europe,Germany,Hamburg - I,Operational,,,1995.0,,Renewables,Wind,,,On-shore,,,,,,,,,12.2,,,20/09/2021,,Hamburg,53.55,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Dammfleth - II,Europe,Germany,Dammfleth - II,Operational,,,2001.0,,Renewables,Wind,,,On-shore,,,,,,,,,12.0,,,20/09/2021,,Dammfleth,53.904843811994,9.3850708007812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
Grappenstein,Europe,Germany,Grappenstein,Operational,,,2001.0,,Renewables,Wind,,,On-shore,,,,,,,,,1.8,,,20/09/2021,,Grappenstein,52.33,8.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
Bredenborn,Europe,Germany,Bredenborn,Operational,Breeze Three Energy GmbH & Co. KG,,2002.0,,Renewables,Wind,,,On-shore,,,,,,,,,16.5,,,20/09/2021,,Marienmünster,51.816667,9.183056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
Neu Zittau,Europe,Germany,Neu Zittau,Operational,,,2009.0,,Renewables,Wind,,,On-shore,,,,,,,,,22.0,,,20/09/2021,,Neu Zittau,52.38,13.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
Rethen,Europe,Germany,Rethen,Operational,RWE,,2003.0,,Renewables,Wind,,,On-shore,,,,,,,,,5.4,,,20/09/2021,,Rethen,52.38,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
Bohmte,Europe,Germany,Bohmte,Operational,,,2005.0,,Renewables,Wind,,,On-shore,,,,,,,,,5.5,,,20/09/2021,,Bohmte,52.4,8.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
Hasenfelde,Europe,Germany,Hasenfelde,Operational,,,2000.0,,Renewables,Wind,,,On-shore,,,,,,,,,0.5,,,20/09/2021,,Hasenfelde,52.42,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
Immenstedt,Europe,Germany,Immenstedt,Operational,,,1993.0,,Renewables,Wind,,,On-shore,,,,,,,,,0.3,,,20/09/2021,,Immenstedt,54.1772451,9.2997458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
Kaisersesch,Europe,Germany,Kaisersesch,Operational,Windfarm Zettingen GmbH,,2009.0,,Renewables,Wind,,,On-shore,,,,,,,,,12.5,,,20/09/2021,,Kaisersesch,50.2315022,7.1369202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
Tremmen,Europe,Germany,Tremmen,Operational,,,2001.0,,Renewables,Wind,,,On-shore,,,,,,,,,5.4,,,20/09/2021,,Tremmen,52.53,12.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
Tülau,Europe,Germany,Tülau,Operational,,,1996.0,,Renewables,Wind,,,On-shore,,,,,,,,,0.5,,,20/09/2021,,Tülau,52.57,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
Neukammer,Europe,Germany,Neukammer,Operational,,,2000.0,,Renewables,Wind,,,On-shore,,,,,,,,,3.0,,,20/09/2021,,Neukammer,52.58,12.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
Schmarloh (Hohne),Europe,Germany,Schmarloh (Hohne),Operational,RWE,,2007.0,,Renewables,Wind,,,On-shore,,,,,,,,,28.0,,,20/09/2021,,Hohne,52.58,10.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
Barver - I,Europe,Germany,Barver - I,Operational,,,1994.0,,Renewables,Wind,,,On-shore,,,,,,,,,0.25,,,20/09/2021,,Barver,52.63,8.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
Barver - II,Europe,Germany,Barver - II,Operational,,,2000.0,,Renewables,Wind,,,On-shore,,,,,,,,,0.66,,,20/09/2021,,Barver,52.63,8.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
Letschin - I,Europe,Germany,Letschin - I,Operational,,,2000.0,,Renewables,Wind,,,On-shore,,,,,,,,,1.32,,,20/09/2021,,Letschin,52.64,14.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
Schönerlinde - I,Europe,Germany,Schönerlinde - I,Operational,E.ON,,,,Renewables,Wind,,,On-shore,,,,,,,,,0.8,,,20/09/2021,,Schönerlinde,51.9455418,13.5194032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
Rademin,Europe,Germany,Rademin,Operational,,,,,Renewables,Wind,,,On-shore,,,,,,,,,0.25,,,20/09/2021,,Rademin,52.8,11.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
Marienhafe,Europe,Germany,Marienhafe,Operational,Planung-Aufbau-Verwaltung Eidelweg GmbH & Co. KG,,2004.0,,Renewables,Wind,,,On-shore,,,,,,,,,18.8,,,20/09/2021,,Marienhafe,53.5247291,7.2731958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
Althüttendorf,Europe,Germany,Althüttendorf,Operational,,,2000.0,,Renewables,Wind,,,On-shore,,,,,,,,,0.5,,,20/09/2021,,Althüttendorf,52.964264,13.817917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
Admannshagen-Bargeshagen,Europe,Germany,Admannshagen-Bargeshagen,Operational,,,1996.0,,Renewables,Wind,,,On-shore,,,,,,,,,2.9,,,20/09/2021,,Admannshagen-Bargeshagen,54.120250258503,11.996297836304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
Plauerhagen,Europe,Germany,Plauerhagen,Operational,MVV Energie AG,,2010.0,,Renewables,Wind,,,On-shore,,,,,,,,,16.0,,,20/09/2021,,Plauerhagen,53.4964818,12.2069143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
Malterhausen - I,Europe,Germany,Malterhausen - I,Operational,RWE,,2001.0,,Renewables,Wind,,,On-shore,,,,,,,,,28.8,,,20/09/2021,,Teltow-Fläming,52.0364157,13.2920443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
Uthlede,Europe,Germany,Uthlede,Operational,,,,,Renewables,Wind,,,On-shore,,,,,,,,,18.0,,,20/09/2021,,Uthlede,53.316612,8.591558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
Hambergen,Europe,Germany,Hambergen,Operational,WKN,,2001.0,,Renewables,Wind,,,On-shore,,,,,,,,,3.3,,,20/09/2021,,Hambergen,53.316086,8.836233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
Plossig - III,Europe,Germany,Plossig - III,Operational,Repower Deutschland GmbH,,2006.0,,Renewables,Wind,,,On-shore,,,,,,,,,10.0,,,20/09/2021,,Plossig,51.6967728,12.9522099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
Emden - III,Europe,Germany,Emden - III,Operational,,,2005.0,,Renewables,Wind,,,On-shore,,,,,,,,,6.5,,,20/09/2021,,Emden,53.3594029,7.2060095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
Bad Langensalza I,Europe,Germany,Bad Langensalza I,Operational,Treuhänder: EEV Erneuerbare Energien Verwaltungs GmbH Dresden,,1999.0,,Renewables,Wind,,,On-shore,,,,,,,,,35.8,,,20/09/2021,,Bad Langensalza,51.1093159,10.6445189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Wiegleben I,Europe,Germany,Wiegleben I,Operational,Enercon,,2001.0,,Renewables,Wind,,,On-shore,,,,,,,,,9.0,,,20/09/2021,,Bad Langensalza,51.1093159,10.6445189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Appel,Europe,Germany,Appel,Operational,,,2006.0,,Renewables,Wind,,,On-shore,,,,,,,,,4.0,,,20/09/2021,,Appel,53.389065,9.776101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Kaiser-Wilhelm-Koog - V,Europe,Germany,Kaiser-Wilhelm-Koog - V,Operational,,,2004.0,,Renewables,Wind,,,On-shore,,,,,,,,,2.0,,,20/09/2021,,Kaiser-Wilhelm-Koog,53.93,8.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
Leezdorf,Europe,Germany,Leezdorf,Operational,,,1996.0,,Renewables,Wind,,,On-shore,,,,,,,,,0.5,,,20/09/2021,,Leezdorf,53.543056,7.289464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
Agathenburg,Europe,Germany,Agathenburg,Operational,,,2001.0,,Renewables,Wind,,,On-shore,,,,,,,,,4.95,,,20/09/2021,,Agathenburg,53.561493,9.564814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Misselwarden,Europe,Germany,Misselwarden,Operational,,,1994.0,,Renewables,Wind,,,On-shore,,,,,,,,,6.12,,,20/09/2021,,Misselwarden,53.668751,8.510302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
Quitzow - V,Europe,Germany,Quitzow - V,Operational,Denker & Wulf,,2009.0,,Renewables,Wind,,,On-shore,,,,,,,,,24.0,,,20/09/2021,,Perleberg,53.0740638,11.8563484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
Kaiser-Wilhelm-Koog - IV,Europe,Germany,Kaiser-Wilhelm-Koog - IV,Operational,,,2002.0,,Renewables,Wind,,,On-shore,,,,,,,,,1.8,,,20/09/2021,,Kaiser-Wilhelm-Koog,53.93,8.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
Kaiser-Wilhelm-Koog - II,Europe,Germany,Kaiser-Wilhelm-Koog - II,Operational,,,1996.0,,Renewables,Wind,,,On-shore,,,,,,,,,0.45,,,20/09/2021,,Kaiser-Wilhelm-Koog,53.93,8.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
Weltzin,Europe,Germany,Weltzin,Operational,,,2000.0,,Renewables,Wind,,,On-shore,,,,,,,,,0.66,,,20/09/2021,,Weltzin,53.745239,13.289833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
Gletzow,Europe,Germany,Gletzow,Operational,,,1993.0,,Renewables,Wind,,,On-shore,,,,,,,,,0.45,,,20/09/2021,,Gletzow,53.802204,11.017484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48
Perleberg WPP,Europe,Germany,Perleberg WPP,Operational,Theolia Naturenergien GmbH,,2002.0,,Renewables,Wind,,,On-shore,,,,,,,,,19.8,,,20/09/2021,,Perleberg,53.0740638,11.8563484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
Kalbe,Europe,Germany,Kalbe,Operational,,,2001.0,,Renewables,Wind,,,On-shore,,,,,,,,,23.0,,,20/09/2021,,Kalbe,52.6565039,11.3876946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
Neufeldrekook,Europe,Germany,Neufeldrekook,Operational,,,1996.0,,Renewables,Wind,,,On-shore,,,,,,,,,1.0,,,20/09/2021,,Neufeldrekook,53.90649,8.978766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
Neufeld,Europe,Germany,Neufeld,Operational,,,1996.0,,Renewables,Wind,,,On-shore,,,,,,,,,7.35,,,20/09/2021,,Neufeld,53.920811,9.005208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
Kuden,Europe,Germany,Kuden,Operational,,,,,Renewables,Wind,,,On-shore,,,,,,,,,2.0,,,20/09/2021,,Kuden,53.969505,9.176272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
Kaiserin-Auguste-Viktoria-Koog,Europe,Germany,Kaiserin-Auguste-Viktoria-Koog,Operational,,,,,Renewables,Wind,,,On-shore,,,,,,,,,1.45,,,20/09/2021,,Kaiserin-Auguste-Viktoria-Koog,54.003815,8.933205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
Dargelin,Europe,Germany,Dargelin,Operational,,,2000.0,,Renewables,Wind,,,On-shore,,,,,,,,,1.5,,,20/09/2021,,Dargelin,54.007206,13.346924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
Dersekow - I,Europe,Germany,Dersekow - I,Operational,,,2001.0,,Renewables,Wind,,,On-shore,,,,,,,,,1.82,,,20/09/2021,,Dersekow,54.053165,13.284602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
Elpersbüttelerdonn,Europe,Germany,Elpersbüttelerdonn,Operational,,,1993.0,,Renewables,Wind,,,On-shore,,,,,,,,,0.5,,,20/09/2021,,Elpersbüttelerdonn,54.054199,9.069778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
Helmshagen 1,Europe,Germany,Helmshagen 1,Operational,,,2001.0,,Renewables,Wind,,,On-shore,,,,,,,,,1.32,,,20/09/2021,,Helmshagen 1,54.0546,13.368234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
Helmshagen 2,Europe,Germany,Helmshagen 2,Operational,,,2001.0,,Renewables,Wind,,,On-shore,,,,,,,,,5.94,,,20/09/2021,,Helmshagen 2,54.056767,13.350411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
Barkau,Europe,Germany,Barkau,Operational,,,1995.0,,Renewables,Wind,,,On-shore,,,,,,,,,1.8,,,20/09/2021,,Barkau,54.066868,10.641203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
Saal,Europe,Germany,Saal,Operational,,,,,Renewables,Wind,,,On-shore,,,,,,,,,3.02,,,20/09/2021,,Saal,54.320354,12.491582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
Kall,Europe,Germany,Kall,Operational,Windpark Kall GmbH & Co WPKA KG,,2009.0,,Renewables,Wind,,,On-shore,,,,,,,,,10.0,,,20/09/2021,,Kall,50.5418388,6.5625303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
Götemitz,Europe,Germany,Götemitz,Operational,,,,,Renewables,Wind,,,On-shore,,,,,,,,,1.0,,,20/09/2021,,Götemitz,54.340149,13.241244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
Pfaffroda,Europe,Germany,Pfaffroda,Operational,Windkraft Unger GmbH,,2007.0,,Renewables,Wind,,,On-shore,,,,,,,,,18.0,,,20/09/2021,,Pfaffroda,50.7010006,13.3513128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Galmsbüll,Europe,Germany,Galmsbüll,Operational,Bürgerwindpark Galmsbüll GmbH,,2006.0,,Renewables,Wind,,,On-shore,,,,,,,,,10.8,,,20/09/2021,,Galmsbüll,54.775205,8.770792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Laboe,Europe,Germany,Laboe,Operational,,,,,Renewables,Wind,,,On-shore,,,,,,,,,1.0,,,20/09/2021,,Laboe,54.394714,10.239019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
Wittenberg - II,Europe,Germany,Wittenberg - II,Operational,,,2007.0,,Renewables,Wind,,,On-shore,,,,,,,,,6.0,,,20/09/2021,,Wittenberg,51.866852,12.633882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
Husum - I,Europe,Germany,Husum - I,Operational,,,1999.0,,Renewables,Wind,,,On-shore,,,,,,,,,0.75,,,20/09/2021,,Husum,54.492767,9.075988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Ahrenviölfeld-1,Europe,Germany,Ahrenviölfeld,Operational,Erste Buergerwindp. Ahrenvioel Ahrenvioelfeld GmbH & Co. KG,,2002.0,,Renewables,Wind,,,On-shore,,,,,,,,,15.0,,,20/09/2021,,Ahrenviöl,54.529324,9.256138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Mannhagen,Europe,Germany,Mannhagen,Operational,"EREM GmbH & Co. German Wind KG 
c/o Treucon Asset Mgmt. GmbH",,2002.0,,Renewables,Wind,,,On-shore,,,,,,,,,14.4,,,20/09/2021,,Mannhagen,52.4528001,9.7443992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
Höxmark,Europe,Germany,Höxmark,Operational,Lorica Energiesysteme,,1994.0,,Renewables,Wind,,,On-shore,,,,,,,,,18.0,,,20/09/2021,,Höxmark,54.630154,10.001052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
Böel WPP,Europe,Germany,Böel WPP,Operational,,,1995.0,,Renewables,Wind,,,On-shore,,,,,,,,,2.4,,,20/09/2021,,Böel,54.641376,9.705162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
Lahn,Europe,Germany,Lahn,Operational,Raiffeisenwindpark Lahn GmbH & Co.KG,,2000.0,,Renewables,Wind,,,On-shore,,,,,,,,,14.0,,,20/09/2021,,Lahn,50.6147172,8.1933352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Paderborn - II,Europe,Germany,Paderborn - II,Operational,,,1997.0,,Renewables,Wind,,,On-shore,,,,,,,,,17.0,,,20/09/2021,,Paderborn,51.7189205,8.7575093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
Nordhackstedt,Europe,Germany,Nordhackstedt,Operational,,,1997.0,,Renewables,Wind,,,On-shore,,,,,,,,,6.3,,,20/09/2021,,Nordhackstedt,54.7330858,9.1670629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Colno,Europe,Germany,Colno,Operational,,,,,Renewables,Wind,,,On-shore,,,,,,,,,4.6,,,20/09/2021,,Zuchau,51.849777,11.859741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Poley,Europe,Germany,Poley,Operational,,,,,Renewables,Wind,,,On-shore,,,,,,,,,11.6,,,20/09/2021,,Poley,51.776019,11.823092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Parey,Europe,Germany,Parey,Operational,,,2005.0,,Renewables,Wind,,,On-shore,,,,,,,,,7.2,,,20/09/2021,,Parey,52.380524,11.983638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
Egeln - II,Europe,Germany,Egeln - II,Operational,,,1998.0,,Renewables,Wind,,,On-shore,,,,,,,,,4.5,,,20/09/2021,,Egeln,51.940984,11.426125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Egeln - III,Europe,Germany,Egeln - III,Operational,,,2005.0,,Renewables,Wind,,,On-shore,,,,,,,,,22.0,,,20/09/2021,,Egeln,51.940984,11.426125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Egeln - I,Europe,Germany,Egeln - I,Operational,,,,,Renewables,Wind,,,On-shore,,,,,,,,,19.2,,,20/09/2021,,Egeln,51.940984,11.426125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Etgersleben - I,Europe,Germany,Etgersleben - I,Operational,,,,,Renewables,Wind,,,On-shore,,,,,,,,,4.5,,,20/09/2021,,Etgersleben,51.940984,11.426125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Barby,Europe,Germany,Barby,Operational,,,2001.0,,Renewables,Wind,,,On-shore,,,,,,,,,3.0,,,20/09/2021,,Egeln,51.940984,11.426125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Domnitz - I,Europe,Germany,Domnitz - I,Operational,,,2003.0,,Renewables,Wind,,,On-shore,,,,,,,,,1.5,,,20/09/2021,,Domnitz,51.629633,11.840258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
Aderstedt I,Europe,Germany,Aderstedt I,Operational,,,2000.0,,Renewables,Wind,,,On-shore,,,,,,,,,9.0,,,20/09/2021,,Aderstedt,51.780055,11.694646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Aderstedt II,Europe,Germany,Aderstedt II,Operational,,,2001.0,,Renewables,Wind,,,On-shore,,,,,,,,,26.0,,,20/09/2021,,Aderstedt,51.780055,11.694646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Ilberstedt,Europe,Germany,Ilberstedt,Operational,,,,,Renewables,Wind,,,On-shore,,,,,,,,,22.5,,,20/09/2021,,Aderstedt,51.780055,11.694646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Funnix,Europe,Germany,Funnix,Operational,,,,,Renewables,Wind,,,On-shore,,,,,,,,,0.3,,,20/09/2021,,Wittmund,53.5766311,7.773289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
Waterstraat,Europe,Germany,Waterstraat,Operational,,,,,Renewables,Wind,,,On-shore,,,,,,,,,0.5,,,20/09/2021,,Wittmund,53.5766311,7.773289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
Berdum,Europe,Germany,Berdum,Operational,,,,,Renewables,Wind,,,On-shore,,,,,,,,,1.0,,,20/09/2021,,Wittmund,53.5766311,7.773289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
Winnigstedt,Europe,Germany,Winnigstedt,Operational,,,2004.0,,Renewables,Wind,,,On-shore,,,,,,,,,10.0,,,20/09/2021,,Winnigstedt,52.063705,10.764241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
Wehrbleck,Europe,Germany,Wehrbleck,Operational,,,,,Renewables,Wind,,,On-shore,,,,,,,,,6.0,,,20/09/2021,,Wehrbleck,52.629885,8.690271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
Immenrode - I,Europe,Germany,Immenrode - I,Operational,,,1998.0,,Renewables,Wind,,,On-shore,,,,,,,,,4.0,,,20/09/2021,,Vienenburg,51.947757,10.564899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
Harlingerode,Europe,Germany,Harlingerode,Operational,,,,,Renewables,Wind,,,On-shore,,,,,,,,,3.0,,,20/09/2021,,Vienenburg,51.947757,10.564899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
Uehrde,Europe,Germany,Uehrde,Operational,,,,,Renewables,Wind,,,On-shore,,,,,,,,,9.0,,,20/09/2021,,Uehrde,52.098386,10.766516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
Gross Lessen,Europe,Germany,Gross Lessen,Operational,,,,,Renewables,Wind,,,On-shore,,,,,,,,,6.0,,,20/09/2021,,Sulingen,52.681898,8.804855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
Remlingen,Europe,Germany,Remlingen,Operational,Mainova,,2013.0,,Renewables,Wind,,,On-shore,,,,,,,,,16.8,,,16/11/2021,,Remlingen,52.113938,10.676994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
Ostbense,Europe,Germany,Ostbense,Operational,,,,,Renewables,Wind,,,On-shore,,,,,,,,,0.5,,,20/09/2021,,Ostbense,53.684229,7.619019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
