,time,peak price,offpeak price,peak demand,offpeak demand,Coal Market gains (min),Coal Entry cost (min),Coal Exit gain (min),Coal Market gains (max),Coal Entry cost (max),Coal Exit gain (max),Coal Market gains (average),Coal Entry cost (average),Coal Exit gain (average),Coal capacity,Coal potential capacity,Coal exit measure,Coal entry measure,Coal peak supply,Coal offpeak supply,Coal Market revenues peak,Coal Market revenues offpeak,Gas Market gains (min),Gas Entry cost (min),Gas Exit gain (min),Gas Market gains (max),Gas Entry cost (max),Gas Exit gain (max),Gas Market gains (average),Gas Entry cost (average),Gas Exit gain (average),Gas capacity,Gas potential capacity,Gas exit measure,Gas entry measure,Gas peak supply,Gas offpeak supply,Gas Market revenues peak,Gas Market revenues offpeak,Wind Market gains (min),Wind Entry cost (min),Wind Exit gain (min),Wind Market gains (max),Wind Entry cost (max),Wind Exit gain (max),Wind Market gains (average),Wind Entry cost (average),Wind Exit gain (average),Wind capacity,Wind potential capacity,Wind exit measure,Wind entry measure,Wind peak supply,Wind offpeak supply,Wind Market revenues peak,Wind Market revenues offpeak,Fuel 0,Fuel 1,Baseload offpeak supply,Baseload peak supply,Default offpeak,Default peak,Carbon offpeak,Carbon peak
61,5.1003344481605355,51.20851381105624,47.883877034294265,69.0952278909359,60.93053605902638,-5.420878426495072,-283.5536407705115,-6.6718503710708585,22.110900281439424,-283.5536407705115,-6.6718503710708585,-2.9612221855550422,-283.5536407705113,-6.6718503710708585,18.25526650494433,9.849477015258067,0.08097091797994374,0.023376729033768903,10.7396776190207,6.760452570792623,549.9629296799131,323.7166795960125,-3.335925185535429,-91.7379426022243,-9.17379426022243,49.364919005538944,-91.7379426022243,-9.17379426022243,5.0526147121651634,-91.73794260222436,-9.173794260222433,38.72383725000685,51.269015374998254,0.17692295778495604,0.5271708921341173,21.958368659427723,18.265178683088987,1124.4554247645692,874.607570070446,0.028389449741319298,-1.550590074195876,0.0,0.6558475013747351,-1.550590074195876,0.0,0.34211847555802727,-1.5505900741958754,0.0,120.00313980160288,82.20759865773117,0.0,3.982287712801589,28.81829521957798,28.81829521957798,1475.742068762855,1379.9317046322622,28.546240175838065,28.54506098632996,7.086813801075551,7.5788600440363245,-0.00020421550875937555,2.6348873170434217e-05,14.5015678898467,20.0094622872489
62,5.183946488294314,61.13251224238958,55.99369927745546,78.42809870039297,69.16058086454406,-5.384739371281011,-281.66329019008367,-6.627371533884321,24.08513965761997,-281.66329019008367,-6.627371533884321,-2.5543991002164175,-281.6632901900836,-6.627371533884318,18.250365427482933,9.847513537198402,0.0820977489007871,0.023480865862906642,11.715431737243534,8.687002721287136,716.1937741019198,486.41741799818914,-3.3136857669421604,-91.12635859090942,-9.112635859090942,55.32995487911588,-91.12635859090942,-9.112635859090942,7.064495704209414,-91.12635859090948,-9.112635859090934,39.24218162593997,50.735725340720315,0.17688424250407758,6.37693958317082,28.786078455707106,23.302066378347533,1759.7652936039017,1304.7688973324975,0.03147766270633521,-1.5363941764577131,0.0,0.6973598545864209,-1.5363941764577131,0.0,0.36441875864637807,-1.5363941764577125,0.0,120.32855167619788,81.87634060506561,0.0,3.9101877267824623,28.881637678954664,28.881637678954664,1765.6070689889561,1617.1897348358143,35.428464423496386,38.32986392243128,8.28706749306341,9.047611811873658,0.0028065928913107996,-0.0026609833860078425,18.561971159500207,23.900643350420474
63,5.2675585284280935,63.338324798427365,57.580321056810995,80.99185674837756,71.42139043066805,-5.348841242206407,-279.78554190002745,-6.583189221177117,24.384583389245204,-279.78554190002745,-6.583189221177117,-2.444330700585942,-279.78554190002745,-6.58318922117712,18.245625493163733,9.845559299794541,0.08005995891759621,0.0233703478661572,12.936591526795816,8.653188716708542,819.3820359087767,498.25338447325214,-3.291594610588558,-90.51885179118536,-9.051885179118536,55.61997482691876,-90.51885179118536,-9.051885179118536,7.248632166011891,-90.5188517911853,-9.05188517911853,39.408289295111054,50.5546752281376,0.17684597914271286,2.1641518421656034,29.73733002824686,25.301087055839872,1883.5126679671268,1456.8447157615847,0.03183842416415998,-1.522328244411931,0.0,0.7006993708434117,-1.522328244411931,0.0,0.3662688975037858,-1.5223282444119308,0.0,120.64598172060205,81.55307214452402,0.0,3.814700842312126,28.943223168411663,28.943223168411663,1833.2152697542258,1666.5600824560738,36.81711864284503,41.30831458590327,8.521887516408027,9.37407207016725,0.00200397329994928,0.0006399547559681196,19.386210421629926,25.512793827538573
64,5.351170568561873,61.914583276022256,56.60145901178188,79.54704036268505,70.14730190712969,-5.313182433102968,-277.920311885386,-6.539301456126729,23.844447442787867,-277.920311885386,-6.539301456126729,-2.504094698584338,-277.92031188538584,-6.539301456126734,18.241062992573035,9.843605812073982,0.07792888556027741,0.0233613819049369,12.348807725622446,8.620652888551827,764.5712842876379,487.9415311261653,-3.2696507280633647,-89.91539502174253,-8.991539502174254,54.79784217988959,-89.91539502174253,-8.991539502174254,7.041224199908337,-89.91539502174247,-8.99153950217425,39.55032017412001,50.3977050852218,0.17680814389142485,1.8761571578598404,29.03621114978244,24.142882783665232,1797.7649132533707,1366.522390305882,0.031076783442320927,-1.5083910882020306,0.0,0.688336664170401,-1.5083910882020306,0.0,0.35970672380636093,-1.5083910882020315,0.0,120.95700668322365,81.23621637108113,0.0,3.738072361195622,29.00335290253833,29.00335290253833,1795.7305085680714,1641.6320905172684,36.00681120216905,39.50449569011691,8.377015933743717,9.163358324851295,0.00339739863057531,-0.0046897401094554425,18.857260462304488,24.632459000720395
65,5.434782608695652,52.497700158012115,49.340692851852,71.00786281589862,62.61716297698291,-5.277761348510144,-276.0675166912999,-6.495706275089408,21.6476644733602,-276.0675166912999,-6.495706275089408,-2.864877424782565,-276.0675166913,-6.495706275089412,18.23644619318469,9.841652770753637,0.07857296048326103,0.023356043213811493,10.440851631760193,7.3114718693212275,548.1206983584382,360.75308779913485,-3.2478531375447037,-89.31596128247936,-8.931596128247937,48.96699578861607,-89.31596128247936,-8.931596128247937,5.189723870201113,-89.31596128247932,-8.931596128247934,39.550914713274274,50.382174428109664,0.17677071438247233,0.18454268978470714,23.73623876016339,18.940163989754474,1246.0979453100429,934.5208139821832,0.027709527157276623,-1.4945815288648363,0.0,0.6395066711475228,-1.4945815288648363,0.0,0.33360809915239964,-1.4945815288648352,0.0,121.2619508573481,80.92544883918757,0.0,3.6653229069845334,29.06210094554214,29.06210094554214,1525.6934614009517,1433.9441963835122,29.81494984201437,30.299438863119548,7.302422542074096,7.769659623385794,0.0010036302909668393,-0.000988144952899006,15.334441614755399,20.47752613702564
66,5.518394648829432,52.68004207282425,49.51820364930588,71.34843887208918,62.917494596198566,-5.242576403603757,-274.2270734192735,-6.452401727512318,21.52284014156073,-274.2270734192735,-6.452401727512318,-2.842459800325756,-274.2270734192735,-6.452401727512322,18.231956564298418,9.839700150454345,0.07704696612240057,0.023351008062075233,10.488326731435745,7.345610259317787,552.5254934855623,363.74142474932876,-3.2262008637561586,-88.72052375329437,-8.872052375329437,48.68549757688262,-88.72052375329437,-8.872052375329437,5.168801119377613,-88.72052375329439,-8.872052375329433,39.560673822748015,50.35748231482626,0.17673366963702272,0.2941155157759188,23.944685187036804,19.12268235456917,1261.4070230736304,946.9208791545443,0.02747580186615807,-1.4808983982307675,0.0,0.6345573680313253,-1.4808983982307675,0.0,0.33101658494874164,-1.480898398230769,0.0,121.56133240486209,80.62025123891507,0.0,3.598771135424318,29.119581433969373,29.119581433969373,1534.0207750845384,1441.949363629842,29.973276458184134,30.633833360717723,7.32869414009727,7.796646226777989,0.0009264082449647049,-0.0008007071307289948,15.446402445797512,20.613760102434433
67,5.60200668896321,60.62344458275215,56.335882772622554,79.11710035549925,69.76816609832385,-5.207626024125083,-272.3988997234659,-6.409385875846255,24.182841266110415,-272.3988997234659,-6.409385875846255,-2.318020426508494,-272.39889972346595,-6.409385875846256,18.227574155929517,9.83774766626462,0.07576298112474132,0.023349380456942473,11.668244079021926,8.53021641276714,707.3691483026116,480.5572718547505,-3.2046929379231277,-88.12905579288602,-8.812905579288602,53.155538738065964,-88.12905579288602,-8.812905579288602,6.70260471898279,-88.129055792886,-8.812905579288607,39.90575583220235,49.997470385555985,0.17669698996023273,4.30454235206055,29.305176170095777,23.721278489355,1776.5807235355903,1336.3591641930363,0.029894363409106388,-1.4673405388250214,0.0,0.6667512615441183,-1.4673405388250214,0.0,0.34832281247661223,-1.4673405388250207,0.0,121.85556018969106,80.32021456232903,0.0,3.5371098306534785,29.175881553859146,29.175881553859146,1768.7424385333206,1643.6490430061297,34.91105888550206,39.11690298878504,8.33771065034814,8.972269798247318,0.003078991994414082,-0.004471245724914752,18.587221854921694,24.076809238886707
68,5.68561872909699,51.285956802749446,47.93083997292871,70.38001554989813,62.063505775924284,-5.172908646310409,-270.58291380700604,-6.366656795458965,21.15867642558165,-270.58291380700604,-6.366656795458965,-2.8156674183416457,-270.58291380700587,-6.366656795458966,18.223168375206882,9.835795888102595,0.07603407065053291,0.023340936637132912,10.800491395870175,6.736643517361544,553.9135351770649,322.89298238532376,-3.1833283977294826,-87.54153093756078,-8.754153093756077,46.305171722778454,-87.54153093756078,-8.754153093756077,4.581380413692359,-87.54153093756078,-8.754153093756083,39.90514930346531,49.983150049861884,0.17666065684600724,0.17007275575225836,22.820785552355716,19.063144274124426,1170.3858220429238,913.7125175839101,0.026300237807180615,-1.4539068037696594,0.0,0.6147786414413245,-1.4539068037696594,0.0,0.32053943962425263,-1.4539068037696603,0.0,121.87214062818136,80.29783225303913,0.0,0.21642570783527085,29.16896493828009,29.16896493828009,1495.958275805546,1398.0929906326714,28.559106418854704,29.977765913808927,7.0937643159934485,7.590321606806919,0.0009887301647779623,-0.000547943414765939,14.82041940171786,20.439401518288594
69,5.769230769230769,60.60606170413091,56.54073748609665,79.51116086097039,70.11566213489454,-5.1384227168210845,-268.7790344183337,-6.324212574549028,24.131765296597564,-268.7790344183337,-6.324212574549028,-2.2405289956117156,-268.7790344183339,-6.3242125745490245,18.21885126231283,9.8338444205662,0.0749698886089026,0.0233372218306089,11.757743735538105,8.475438030136255,712.5905423373811,479.20751674161414,-3.1621062872745136,-86.95792290004913,-8.695792290004913,52.37814560103678,-86.95792290004913,-8.695792290004913,6.586987887208589,-86.95792290004917,-8.695792290004915,40.1646454093909,49.7087301077337,0.1766246528903701,3.28086593626237,29.506540011251964,23.987123257357762,1788.2751845973442,1356.2496391409088,0.029319301780532655,-1.4405960566865936,0.0,0.6554017077625953,-1.4405960566865936,0.0,0.34236050477156404,-1.440596056686594,0.0,122.41368032495838,79.7504975701614,0.0,6.494917007456491,29.281858674248433,29.281858674248433,1774.6581336231413,1655.6178844056628,34.85834273323363,39.55162241134491,8.368029147942304,8.969697132211374,0.003213025209781506,-0.004678692279483698,18.647257775120828,24.251440988067664
70,5.852842809364549,56.94640274367218,51.512027626663595,74.95934087978826,66.10171153420482,-5.104166692674009,-266.98718084756354,-6.282051314060318,22.034583076790774,-266.98718084756354,-6.282051314060318,-2.5607084916976133,-266.9871808475636,-6.282051314060314,18.214604670804587,9.831893473353599,0.07412023003982231,0.023330999040002614,10.749160448289082,7.845832774910583,612.1260200446219,404.1547546553767,-3.141025657030159,-86.37820556832938,-8.637820556832938,48.638735563088666,-86.37820556832938,-8.637820556832938,5.444907507192258,-86.37820556832945,-8.637820556832937,40.16379634946227,49.69465833389776,0.17658896171251476,0.16710375467407118,26.44759811289863,21.29646148763704,1506.0955737399097,1097.0239125013366,0.02728330984075557,-1.4274071716014565,0.0,0.6252649501213723,-1.4274071716014565,0.0,0.3262741299810639,-1.4274071716014574,0.0,122.69407971020915,79.46430995092284,0.0,3.3716578723267268,29.33503206735531,29.33503206735531,1670.5245506061538,1511.1069822826692,31.768282620906824,34.626960140475205,7.623780088746213,8.428067606063484,0.0006051155556718868,-0.0005173548182426657,16.872173094258123,21.944691792446548
